Public ID,Organization,Availability,System Name (Click + for details),Board Name,Host Processor Frequency,Software,Processor,Accelerator,Benchmark,Model MLC,Units,Avg. Result
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-7.3,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,DSCNN,latency (ms),16.7258
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-7.3,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,DSCNN,Energy in uJ,2367.47
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-7.3,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,FC AutoEncoder,latency (ms),1.82815
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-7.3,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,MobileNetV1 (0.25x),latency (ms),50.4083
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-7.3,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,MobileNetV1 (0.25x),Energy in uJ,7810.7
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-7.3,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,ResNet-V1,latency (ms),53.8387
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-7.3,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,ResNet-V1,Energy in uJ,8471.1
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,DSCNN,latency (ms),16.4
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,DSCNN,Energy in uJ,2362.1
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,FC AutoEncoder,latency (ms),1.8
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,FC AutoEncoder,Energy in uJ,235.8
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,MobileNetV1 (0.25x),latency (ms),50.3
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,MobileNetV1 (0.25x),Energy in uJ,6928.3
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,ResNet-V1,latency (ms),54.9
1.1-0001,Krai,Available Cloud,NUCLEO-H7A3ZI-Q-X-CUBE-AI-8.0,NUCLEO-H7A3ZI-Q,280 MHz,X-CUBE-AI v7.3.0,32-bit Arm Cortex-M7,,Tiny,ResNet-V1,Energy in uJ,7615.4
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-CMSIS-NN,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,DSCNN,latency (ms),99.8104
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-CMSIS-NN,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,FC AutoEncoder,latency (ms),8.60496
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-CMSIS-NN,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,MobileNetV1 (0.25x),latency (ms),300.842
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-CMSIS-NN,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,ResNet-V1,latency (ms),389.56
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-NATIVE,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,DSCNN,latency (ms),144
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-NATIVE,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,FC AutoEncoder,latency (ms),11.7
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-NATIVE,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,MobileNetV1 (0.25x),latency (ms),338.9
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-MICROTVM-NATIVE,NUCLEO-L4R5ZI,120 MHz,microTVM,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,ResNet-V1,latency (ms),389.1
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-X-CUBE-AI-7.3,NUCLEO-L4R5ZI,120 MHz,,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,DSCNN,latency (ms),74.7
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-X-CUBE-AI-7.3,NUCLEO-L4R5ZI,120 MHz,,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,DSCNN,Energy in uJ,5627.5
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-X-CUBE-AI-7.3,NUCLEO-L4R5ZI,120 MHz,,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,FC AutoEncoder,latency (ms),7.6
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-X-CUBE-AI-7.3,NUCLEO-L4R5ZI,120 MHz,,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,FC AutoEncoder,Energy in uJ,529.3
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-X-CUBE-AI-7.3,NUCLEO-L4R5ZI,120 MHz,,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,MobileNetV1 (0.25x),latency (ms),224.9
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-X-CUBE-AI-7.3,NUCLEO-L4R5ZI,120 MHz,,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,MobileNetV1 (0.25x),Energy in uJ,16536.3
1.1-0002,Krai,Available Cloud,NUCLEO-L4R5ZI-X-CUBE-AI-7.3,NUCLEO-L4R5ZI,120 MHz,,32-bit Arm Cortex-M4 (DSP + FPU),,Tiny,ResNet-V1,latency (ms),226.9
