Public ID,Organization,Availability,System Name (Click + for details),Board Name,Host Processor Frequency,Software,Processor,Accelerator,Benchmark,Model MLC,Units,Avg. Result
0.7-2001,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D25F; 5-stage; single-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,DSCNN,latency (ms),79.85
0.7-2001,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D25F; 5-stage; single-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,FC AutoEncoder,latency (ms),16.8
0.7-2001,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D25F; 5-stage; single-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,MobileNetV1 (0.25x),latency (ms),296.38
0.7-2001,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D25F; 5-stage; single-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,ResNet-V1,latency (ms),304.69
0.7-2002,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D45; 8-stage; dual-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,DSCNN,latency (ms),68.31
0.7-2002,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D45; 8-stage; dual-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,FC AutoEncoder,latency (ms),12.13
0.7-2002,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D45; 8-stage; dual-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,MobileNetV1 (0.25x),latency (ms),225.58
0.7-2002,Andes,Available Cloud,ADP-XC7K160/410 FPGA,,,TensorFlowLite for Microcontrollers; Andes NN Library,AndesCore D45; 8-stage; dual-issue; RV32 IMACP (1),RISC-V P Extension,Tiny,ResNet-V1,latency (ms),227.69
0.7-2003,Andes,Available Cloud,Xilinx VCU118 FPGA,,,TensorFlowLite for Microcontrollers;  Andes NN Library,AndesCore NX27V; 5-stage; single-issue; RV64 IMACV; RVV(VLEN; SIMD; BIU)=(128; 128; 128) (1),RISC-V V Extension,Tiny,FC AutoEncoder,latency (ms),4.09
0.7-2004,Plumerai,Available Cloud,NUCLEO-L4R5ZI,,,Plumerai inference engine,Arm Cortex-M4,,Tiny,DSCNN,latency (ms),73.5
